|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.2  |     4.21  |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.17 |     4.21  |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.97 |     4.552 |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.06 |     4.552 |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.93 |     4.21  |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.28 |     4.21  |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.42 |     4.21  |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.93 |     4.552 |
|                     3 |                       8 |    2.152 |    0.711 |   0.014 |   2.547 |    4.125 |         1.98 |     4.427 |
|                     6 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.05 |     4.552 |
|                     6 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.98 |     4.21  |
|                     6 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         3.01 |     4.21  |
|                     6 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         1.98 |     4.21  |
|                     6 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.23 |     4.552 |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         1.92 |     4.552 |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.41 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.37 |     4.21  |
|                     5 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.16 |     4.21  |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.07 |     4.21  |
|                     3 |                       8 |    2.152 |    0.769 |   0.033 |   2.599 |    4.5   |         2.08 |     4.789 |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.14 |     4.21  |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.35 |     4.552 |
|                    12 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.52 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.31 |     4.552 |
|                     4 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.05 |     4.21  |
|                     9 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.15 |     4.552 |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.13 |     4.552 |
|                    11 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.24 |     4.21  |
|                    11 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.25 |     4.552 |
|                    10 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.1  |     4.21  |
|                     7 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.14 |     4.552 |
|                     9 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.18 |     4.21  |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.42 |     4.552 |
|                     7 |                       8 |    2.13  |    0.69  |   0.026 |   2.584 |    4     |         2.31 |     4.21  |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.12 |     4.552 |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.1  |     4.552 |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.19 |     4.552 |
|                     5 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.99 |     4.552 |
|                     7 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.17 |     4.552 |
|                     4 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.14 |     4.552 |
|                    10 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.13 |     4.552 |
|                    12 |                       8 |    2.13  |    0.748 |   0.049 |   2.652 |    4.375 |         2.15 |     4.552 |
