  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   1.901	   0.139	  0.06 	  1.727	   3    	        4.6 	   -0.827
           4	   1.385	   0.238	  0.059	  1.705	   2.25 	        5.25	   -1.137
           4	   1.417	   0.309	  0.099	  2.458	   3.5  	        5.24	   -0.783
           5	   1.636	   0.169	  0.091	  2.364	   2    	        5.92	   -2.26
           4	   1.86 	   0.41 	  0.151	  2.644	   4.75 	        5.67	   -0.315
           3	   1.878	   0.135	  0.062	  1.69 	   3    	        4.92	   -0.765
           3	   2.267	   0.365	  0.134	  2.33 	   5.333	        4.85	    0.237
           4	   1.417	   0.238	  0.093	  2.341	   3.5  	        5.16	   -0.589
           4	   1.409	   0.176	  0.112	  2.159	   3.25 	        5.11	   -0.606
           5	   1.65 	   0.361	  0.086	  2.179	   3.6  	        6.33	   -0.676
           5	   1.675	   0.388	  0.155	  2.635	   3.6  	        6.11	   -1.253
           5	   1.636	   0.383	  0.128	  2.807	   3.6  	        5.53	   -1.354
           5	   1.166	   0.367	  0.162	  2.612	   3.8  	        5.83	   -0.507
           5	   1.892	   0.403	  0.117	  2.943	   3.6  	        6.23	   -1.755
           4	   1.457	   0.4  	  0.123	  2.113	   4.5  	        5.62	    0.407
           5	   1.449	   0.38 	  0.161	  2.642	   3.8  	        6.18	   -0.832
           3	   0.999	   0.193	  0.088	  1.667	   2    	        4.53	   -0.947
           5	   1.548	   0.304	  0.117	  2.239	   3.2  	        5.62	   -1.008
           3	   1.542	   0.201	  0.067	  1.71 	   2.333	        4.66	   -1.187
           3	   1.407	   0.193	  0.073	  1.667	   2    	        4.48	   -1.34
           5	   1.92 	   0.382	  0.084	  2.113	   3.8  	        5.6 	   -0.699
           5	   1.353	   0.344	  0.093	  2.164	   2.8  	        5.55	   -1.154
           3	   2.255	   0.221	  0.054	  1.697	   3.667	        4.72	   -0.56
           3	   1.311	   0.179	  0.103	  1.654	   2    	        4.71	   -1.247
           4	   0.983	   0.193	  0.072	  1.667	   1.5  	        5.38	   -1.415
           3	   2.846	   0.232	  0.09 	  2.335	   4.667	        4.82	   -0.836
           3	   1.878	   0.126	  0.072	  1.714	   2.667	        5.03	   -1.123
           4	   1.457	   0.512	  0.079	  2.223	   5    	        5.19	    0.729
           3	   2.174	   0.399	  0.103	  2.257	   5.667	        4.75	    0.734
           4	   2.117	   0.395	  0.132	  2.712	   5    	        5.04	   -0.356
           5	   1.314	   0.172	  0.136	  1.952	   2.6  	        5.77	   -0.974
           5	   1.372	   0.322	  0.154	  2.804	   3.2  	        5.49	   -1.452
           5	   1.314	   0.32 	  0.09 	  2.4  	   2.8  	        5.75	   -1.324
           4	   2.241	   0.459	  0.098	  2.401	   4.75 	        4.96	   -0.449
           4	   1.77 	   0.325	  0.093	  2.388	   4    	        5.2 	   -0.576
           5	   1.881	   0.39 	  0.064	  2.233	   3.8  	        5.72	   -0.768
           3	   2.19 	   0.118	  0.077	  1.632	   2.333	        5.2 	   -1.684
           3	   2.19 	   0.129	  0.066	  1.75 	   2.667	        4.59	   -1.468
           4	   1.457	   0.292	  0.11 	  1.897	   4.5  	        5.2 	    0.744
           3	   2.043	   0.234	  0.066	  1.707	   3.333	        4.92	   -0.717
           4	   1.691	   0.268	  0.066	  1.592	   3    	        5.19	   -0.617
           5	   1.694	   0.426	  0.11 	  2.896	   3.8  	        5.52	   -1.326
           5	   1.895	   0.435	  0.073	  2.715	   4.2  	        5.53	   -0.918
           3	   2.043	   0.245	  0.055	  1.682	   4    	        4.75	   -0.025
           4	   1.643	   0.176	  0.104	  2.295	   3.25 	        5.79	   -0.968
