|   Proposed Partitions |   Discovered Partitions |   BCS[-] |   ICP[-] |   SM[+] |   MQ[+] |   IFN[-] |   WC_time[-] |   Loss[-] |
|                     9 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.13 |     2.271 |
|                    28 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.1  |     2.921 |
|                    17 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.47 |     2.271 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         1.97 |     2.271 |
|                    10 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.05 |     2.271 |
|                    26 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.18 |     2.744 |
|                    29 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.29 |     2.271 |
|                    31 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.65 |     2.921 |
|                    24 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.02 |     2.271 |
|                    16 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.17 |     2.271 |
|                    16 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.06 |     2.744 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         3.23 |     2.271 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.03 |     2.271 |
|                     7 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.08 |     2.921 |
|                    15 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.14 |     2.271 |
|                    15 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.88 |     2.271 |
|                    14 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.2  |     2.744 |
|                    13 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.27 |     2.921 |
|                    23 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.16 |     2.271 |
|                    22 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.36 |     2.271 |
|                    11 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.45 |     2.271 |
|                    21 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.16 |     2.271 |
|                    29 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.17 |     2.271 |
|                    19 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.29 |     2.744 |
|                     8 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.43 |     2.744 |
|                     4 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.12 |     2.271 |
|                    20 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.31 |     2.271 |
|                     8 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.17 |     2.744 |
|                    10 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.86 |     2.921 |
|                    27 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.34 |     2.271 |
|                     7 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.15 |     2.921 |
|                    32 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.31 |     2.271 |
|                    26 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.42 |     2.744 |
|                    28 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.16 |     2.744 |
|                    27 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.21 |     2.744 |
|                    31 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.31 |     2.921 |
|                     9 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.13 |     2.744 |
|                     8 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.48 |     2.744 |
|                    26 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.26 |     2.744 |
|                    15 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.13 |     2.921 |
|                    33 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.13 |     2.271 |
|                    10 |                      17 |    1.785 |    0.426 |   0.089 |   2.966 |    3.765 |         2.36 |     2.921 |
|                     3 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.66 |     2.744 |
|                    22 |                      17 |    1.801 |    0.424 |   0.082 |   3.105 |    3.706 |         2.13 |     2.744 |
|                     4 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.89 |     2.271 |
|                     4 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.16 |     2.271 |
|                     4 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.3  |     2.271 |
|                     6 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.3  |     2.271 |
|                     6 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.11 |     2.271 |
|                    16 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.44 |     2.271 |
|                    16 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.29 |     2.271 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.39 |     2.271 |
|                    19 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.27 |     2.271 |
|                    13 |                      18 |    2     |    0.595 |   0.093 |   4.731 |    4.5   |         2.19 |     2.271 |
