  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           4	   2.442	   0.128	  0.071	  2.746	   4.5  	        7.93	   -0.887
           5	   1.962	   0.091	  0.17 	  4.37 	   2.4  	        7.75	   -4.193
           4	   2.098	   0.046	  0.03 	  1.663	   1.5  	        7.11	   -2.337
           4	   2.994	   0.09 	  0.127	  3.391	   3.5  	        7.41	   -3.102
           3	   1.827	   0.002	  0.076	  1.909	   0.333	        7.17	   -3.481
           4	   1.37 	   0.004	  0.187	  3.467	   0.5  	        6.78	   -4.528
           4	   1.537	   0.002	  0.126	  2.8  	   0.25 	        6.96	   -4.215
           5	   2.317	   0.213	  0.134	  4.582	   4.6  	        7.89	   -2.646
           3	   1.704	   0.038	  0.191	  2.596	   1    	        5.95	   -3.529
           3	   1.465	   0    	  0.01 	  1    	   0    	        6.06	   -2.475
           4	   2.76 	   0.214	  0.095	  3.472	   8.25 	        7.1 	    1.709
           3	   3.25 	   0.144	  0.112	  2.722	   5.667	        7.05	   -0.561
           4	   2.753	   0.217	  0.069	  2.629	   8.25 	        7.43	    2.582
           4	   2.128	   0.002	  0.032	  1.947	   0.25 	        7.06	   -3.859
           5	   1.803	   0.028	  0.131	  2.658	   1    	        7.49	   -3.62
           3	   2.992	   0.055	  0.093	  2.754	   2.667	        6.67	   -3.227
           4	   1.903	   0.002	  0.09 	  2.909	   0.25 	        6.71	   -4.654
           3	   1.827	   0.002	  0.175	  2.667	   0.333	        6.17	   -4.338
           3	   2.18 	   0    	  0.136	  3    	   0    	        6.36	   -5.316
           4	   2.49 	   0.134	  0.098	  2.752	   4.75 	        6.81	   -0.724
           4	   2.278	   0.136	  0.116	  3.42 	   5.25 	        6.81	   -0.7
           5	   1.578	   0    	  0.057	  2    	   0    	        7.74	   -3.635
           4	   2.177	   0.004	  0.127	  3.905	   0.5  	        7.03	   -5.713
           3	   3.414	   0.054	  0.042	  1.462	   2.333	        6.67	   -2.639
           5	   1.449	   0.04 	  0.144	  3.594	   0.8  	        7.25	   -4.427
           3	   1.7  	   0.004	  0.132	  2.467	   0.667	        6.03	   -3.636
           5	   2.086	   0.259	  0.108	  4.166	   6.2  	        7.48	   -0.419
           3	   2.811	   0.056	  0.064	  2.753	   2.333	        6.45	   -3.351
           4	   2.05 	   0.038	  0.104	  3.705	   0.75 	        7.04	   -5.147
           5	   2.455	   0.187	  0.054	  3.661	   4.4  	        7.72	   -1.957
           4	   1.867	   0.002	  0.133	  2.667	   0.25 	        6.64	   -4.419
           5	   1.091	   0.002	  0.101	  2.8  	   0.2  	        7.86	   -3.794
           3	   3.044	   0.137	  0.156	  2.72 	   7    	        6.63	    0.943
           5	   1.904	   0.065	  0.063	  2.367	   1.6  	        7.06	   -2.799
           5	   2.111	   0.03 	  0.071	  2.496	   1.2  	        7.88	   -3.508
           3	   3.469	   0.142	  0.08 	  2.716	   5.333	        6.5 	   -1.074
           3	   1.927	   0.008	  0.047	  1.849	   1    	        6   	   -2.831
           4	   1.805	   0.002	  0.121	  2.909	   0.25 	        6.81	   -4.587
           3	   1.465	   0    	  0.01 	  1    	   0    	        5.94	   -2.475
           3	   3.187	   0.165	  0.072	  2.572	   6.333	        6.3 	    0.337
           3	   2.18 	   0    	  0.136	  3    	   0    	        6.69	   -5.316
           3	   2.363	   0.04 	  0.104	  2.828	   1    	        6.58	   -4.335
           5	   1.708	   0.069	  0.132	  3.303	   2    	        7.4 	   -3.212
           5	   1.442	   0.002	  0.097	  2.909	   0.2  	        7.54	   -4.25
           4	   1.651	   0.04 	  0.173	  3.086	   2.5  	        6.84	   -2.45
           4	   2.579	   0.353	  0.155	  3.306	  12.25 	        7.1 	    5.857
           3	   3.471	   0.109	  0.097	  2.469	   4.333	        7.04	   -1.813
           3	   2.066	   0.04 	  0.17 	  2.788	   1.333	        6.02	   -3.731
           5	   1.974	   0.002	  0.106	  3.909	   0.2  	        7.51	   -5.791
           5	   1.877	   0.002	  0.121	  3.996	   0.2  	        7.53	   -5.796
           4	   2.044	   0.006	  0.126	  3.991	   0.5  	        6.74	   -5.667
           5	   2.314	   0.139	  0.119	  3.815	   3    	        7.63	   -3.387
           5	   2.66 	   0.187	  0.08 	  3.599	   4.4  	        7.93	   -2.126
