  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           5	   2.322	   0.247	  0.101	  2.593	   3    	        6.09	   -2.263
           5	   2.594	   0.245	  0.093	  3.305	   3    	        6.51	   -3.237
           5	   1.943	   0.131	  0.089	  2.842	   1.6  	        6.25	   -3.405
           5	   2.136	   0.303	  0.134	  3.467	   3.6  	        6.32	   -2.44
           3	   3.182	   0.208	  0.05 	  1.75 	   4    	        5.02	   -1.19
           3	   3.497	   0.32 	  0.082	  2.228	   7    	        5.27	    0.873
           5	   2.428	   0.255	  0.085	  3.586	   2.8  	        5.94	   -3.554
           3	   3.124	   0.206	  0.139	  2.467	   4    	        4.97	   -1.936
           4	   2.972	   0.288	  0.165	  3.244	   4.25 	        5.54	   -2.419
           3	   2.427	   0.05 	  0.084	  1.981	   0.667	        5.8 	   -3.875
           3	   2.379	   0.193	  0.035	  1.675	   4.333	        4.81	    0.051
           5	   2.499	   0.188	  0.102	  2.816	   2.2  	        5.98	   -3.405
           4	   2.309	   0.203	  0.039	  1.773	   2.75 	        5.28	   -1.574
           3	   3.468	   0.22 	  0.112	  2.54 	   4.333	        4.96	   -2.007
           4	   2.771	   0.228	  0.062	  2.613	   3.25 	        5.5 	   -2.424
           4	   2.354	   0.129	  0.185	  2.829	   1.75 	        5.82	   -3.747
           4	   3.257	   0.307	  0.186	  3.455	   4.25 	        5.6 	   -2.955
           3	   3.447	   0.314	  0.092	  2.436	   6.333	        5.44	    0.044
           4	   2.754	   0.175	  0.111	  2.766	   2.75 	        5.52	   -3.056
           5	   3    	   0.302	  0.154	  4.025	   3.4  	        5.88	   -4.081
           5	   2.356	   0.182	  0.089	  2.75 	   2.4  	        5.98	   -2.977
           5	   2.201	   0.221	  0.249	  3.477	   2.6  	        5.86	   -3.548
           3	   2.515	   0.162	  0.174	  2.789	   3.667	        4.76	   -1.973
           3	   3.146	   0.129	  0.249	  2.918	   2.333	        4.91	   -4.109
           3	   2.276	   0.148	  0.089	  1.658	   3    	        5.1 	   -1.171
           5	   2.021	   0.138	  0.195	  3.859	   1.6  	        5.83	   -4.613
           4	   3.357	   0.314	  0.071	  2.917	   4.5  	        5.36	   -2.159
           5	   2.029	   0.176	  0.064	  2.486	   2    	        5.77	   -2.755
           3	   2.576	   0.214	  0.129	  2.723	   4.333	        5.1 	   -1.309
           3	   1.986	   0    	  0.016	  1    	   0    	        4.79	   -3.002
           3	   3.313	   0.221	  0.133	  2.701	   4.333	        4.97	   -2.035
           5	   1.948	   0.131	  0.094	  2.866	   1.6  	        5.86	   -3.439
           4	   2.738	   0.247	  0.169	  3.539	   4    	        5.6 	   -2.693
           3	   3.502	   0.333	  0.04 	  2.157	   6.333	        4.94	    0.301
           3	   2.291	   0.122	  0.069	  1.882	   2.333	        4.73	   -2.031
