  Partitions	  BCS[-]	  ICP[-]	  SM[+]	  MQ[+]	  IFN[-]	  WC_time[-]	  Loss[-]
           3	   3.283	   0.324	  0.171	  2.322	   6    	        4.66	   -0.1
           2	   3.379	   0.26 	  0.071	  1.602	   7.5  	        4.05	    2.188
           3	   3.434	   0.471	  0.079	  1.843	   9.333	        4.79	    3.506
           2	   3.111	   0.171	  0.092	  1.191	   5    	        4.18	    0.435
           4	   3.235	   0.558	  0.146	  2.364	   7.5  	        5.21	    1.197
           4	   2.014	   0.381	  0.124	  1.837	   5    	        5.19	    0.644
           4	   2.618	   0.597	  0.065	  1.768	   7.75 	        5.16	    2.702
           4	   2.311	   0.263	  0.193	  2.331	   3.75 	        5.18	   -1.348
           4	   2.731	   0.477	  0.246	  2.698	   6.5  	        6   	    0.348
           4	   2.684	   0.316	  0.152	  2.001	   4.5  	        5.65	   -0.653
           3	   3.283	   0.393	  0.151	  2.293	   6.667	        4.64	    0.547
           4	   2.635	   0.492	  0.175	  2.199	   6.75 	        5.15	    1.249
           2	   3.379	   0.146	  0.114	  1.643	   4.5  	        4.2 	   -0.782
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.35	   -0.826
           3	   2.759	   0.29 	  0.189	  1.892	   5.667	        4.6 	    0.537
           2	   3.379	   0.12 	  0.101	  1.632	   4.5  	        4.12	   -0.732
           4	   2.462	   0.422	  0.164	  2.579	   5.5  	        5.41	   -0.127
           2	   3.379	   0.198	  0.082	  1.564	   5.5  	        3.96	    0.277
           3	   2.357	   0.317	  0.196	  2.243	   6.333	        4.61	    1.22
           3	   2.253	   0.204	  0.063	  1.571	   4    	        4.53	   -0.091
           2	   3.414	   0.317	  0.018	  1.489	   9.5  	        4.09	    4.262
           2	   3.223	   0.248	  0.057	  1.497	   7    	        4.67	    1.975
           3	   2.865	   0.312	  0.158	  2.072	   5.333	        4.64	   -0.074
           2	   3.379	   0.233	  0.082	  1.639	   6    	        4.26	    0.667
           4	   1.964	   0.229	  0.246	  2.496	   3.5  	        5.04	   -1.435
           4	   2.462	   0.422	  0.142	  2.579	   5.5  	        5.26	   -0.105
           4	   3.183	   0.502	  0.126	  2.526	   6.75 	        5.11	    0.413
           2	   3.605	   0.305	  0.053	  1.604	   8.5  	        4.03	    2.933
           4	   1.863	   0.331	  0.213	  2.57 	   4.75 	        5.08	   -0.227
           4	   3.267	   0.48 	  0.16 	  2.634	   6.75 	        5.36	    0.209
           2	   3.111	   0.183	  0.104	  1.466	   5    	        4.65	    0.136
           4	   1.556	   0.208	  0.296	  2.463	   3    	        5.04	   -1.523
           3	   2.268	   0.363	  0.218	  2.125	   7    	        4.87	    2.026
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.02	   -0.826
           4	   2.462	   0.351	  0.192	  2.905	   5.25 	        5.49	   -0.66
           3	   2.253	   0.184	  0.243	  2.279	   4    	        5.03	   -0.959
           4	   2.462	   0.422	  0.164	  2.579	   5.5  	        5.21	   -0.127
           4	   3.286	   0.522	  0.111	  2.672	   7.5  	        5.2 	    0.909
           4	   3.259	   0.482	  0.18 	  2.613	   6.5  	        5.25	   -0.034
           3	   3.283	   0.324	  0.171	  2.322	   6    	        4.73	   -0.1
           3	   2.403	   0.305	  0.222	  2.269	   5.667	        4.6 	    0.468
           2	   3.379	   0.139	  0.113	  1.695	   4.5  	        4.31	   -0.826
           2	   3.605	   0.289	  0.067	  1.64 	   8    	        4.06	    2.399
           2	   3.605	   0.213	  0.15 	  1.64 	   5.5  	        4.15	   -0.108
           4	   1.958	   0.211	  0.315	  2.242	   3.25 	        5.25	   -1.476
           3	   3.434	   0.459	  0.091	  1.913	   8.667	        4.81	    2.77
           2	   3.414	   0.241	  0.072	  1.854	   6.5  	        3.99	    0.919
           4	   2.636	   0.44 	  0.135	  2.542	   6    	        5.68	    0.247
           2	   3.379	   0.203	  0.096	  1.601	   5.5  	        4.55	    0.221
           3	   1.246	   0.027	  0.178	  1.639	   1    	        5.4 	   -2.09
           4	   3.251	   0.556	  0.158	  2.479	   7    	        6.75	    0.556
           2	   3.379	   0.144	  0.094	  1.669	   5    	        4.04	   -0.286
           4	   2.636	   0.523	  0.121	  2.167	   6    	        5.15	    0.553
           2	   3.414	   0.447	  0.035	  1.575	  10.5  	        4.13	    5.029
           3	   1.246	   0.027	  0.178	  1.639	   1    	        4.85	   -2.09
           3	   3.514	   0.369	  0.16 	  2.252	   6.667	        4.6 	    0.372
           4	   2.014	   0.386	  0.263	  2.482	   5.25 	        5.55	    0.105
           2	   1.869	   0.022	  0.265	  1.648	   1    	        4.41	   -2.804
           4	   2.51 	   0.431	  0.223	  2.575	   5.75 	        5.41	    0.011
           3	   2.261	   0.147	  0.065	  1.406	   3.333	        4.73	   -0.546
           4	   1.964	   0.266	  0.155	  1.969	   4    	        6.64	   -0.354
